"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"Suspicious Network Connection Binary No CommandLine","Florian Roth (Nextron Systems)","Detects suspicious network connections made by a well-known Windows binary run with no command line parameters","attack.defense_evasion","network_connection","windows","Not classified","Review the process tree to understand the parent process and context of the suspicious network connection 
Check the reputation of the binary making the network connection 
Analyze the destination of the network connection for any known malicious indicators 
Compare the behavior with historical data to identify anomalies","Legitimate network connections made by system binaries without command line parameters 
Network connections made by trusted applications that do not require command line arguments 
Network connections made by system services that use default configurations","Initiated=""true"" Image IN (""*\\regsvr32.exe"", ""*\\rundll32.exe"", ""*\\dllhost.exe"") CommandLine IN (""*\\regsvr32.exe"", ""*\\rundll32.exe"", ""*\\dllhost.exe"") NOT (CommandLine="""" OR CommandLine!=*)"
"Cmstp Making Network Connection","Nasreddine Bencherchali (Nextron Systems)","Detects suspicious network connection by Cmstp","attack.defense_evasion, attack.t1218.003","network_connection","windows","Not classified","Review the process command-line arguments and parameters to determine the nature of the network connection 
Check if the network connection is to a known and trusted destination 
Correlate the Cmstp network connection with other security events to identify any malicious behavior 
Investigate the parent process that initiated Cmstp to understand the context of the network connection","Legitimate use of Cmstp for network-related activities 
Updates or installations that involve Cmstp 
Scheduled tasks or scripts leveraging Cmstp for legitimate purposes 
Cmstp used by system administrators for authorized configurations","Image=""*\\cmstp.exe"" Initiated=""true"""
"Network Communication With Crypto Mining Pool","Florian Roth (Nextron Systems), Nasreddine Bencherchali (Nextron Systems)","Detects initiated network connections to crypto mining pools","attack.impact, attack.t1496","network_connection","windows","Not classified","Review the process and user context initiating the network connection 
Check if the connection is part of legitimate mining activities within the organization 
Verify if the connection is related to authorized mining software or services 
Investigate any recent changes or installations related to mining software on the system","Legitimate connections to known crypto mining pools 
Legitimate connections to mining software update servers 
Legitimate connections to mining pool management interfaces","DestinationHostname IN (""alimabi.cn"", ""ap.luckpool.net"", ""bcn.pool.minergate.com"", ""bcn.vip.pool.minergate.com"", ""bohemianpool.com"", ""ca-aipg.miningocean.org"", ""ca-dynex.miningocean.org"", ""ca-neurai.miningocean.org"", ""ca-qrl.miningocean.org"", ""ca-upx.miningocean.org"", ""ca-zephyr.miningocean.org"", ""ca.minexmr.com"", ""ca.monero.herominers.com"", ""cbd.monerpool.org"", ""cbdv2.monerpool.org"", ""cryptmonero.com"", ""crypto-pool.fr"", ""crypto-pool.info"", ""cryptonight-hub.miningpoolhub.com"", ""d1pool.ddns.net"", ""d5pool.us"", ""daili01.monerpool.org"", ""de-aipg.miningocean.org"", ""de-dynex.miningocean.org"", ""de-zephyr.miningocean.org"", ""de.minexmr.com"", ""dl.nbminer.com"", ""donate.graef.in"", ""donate.ssl.xmrig.com"", ""donate.v2.xmrig.com"", ""donate.xmrig.com"", ""donate2.graef.in"", ""drill.moneroworld.com"", ""dwarfpool.com"", ""emercoin.com"", ""emercoin.net"", ""emergate.net"", ""ethereumpool.co"", ""eu.luckpool.net"", ""eu.minerpool.pw"", ""fcn-xmr.pool.minergate.com"", ""fee.xmrig.com"", ""fr-aipg.miningocean.org"", ""fr-dynex.miningocean.org"", ""fr-neurai.miningocean.org"", ""fr-qrl.miningocean.org"", ""fr-upx.miningocean.org"", ""fr-zephyr.miningocean.org"", ""fr.minexmr.com"", ""hellominer.com"", ""herominers.com"", ""hk-aipg.miningocean.org"", ""hk-dynex.miningocean.org"", ""hk-neurai.miningocean.org"", ""hk-qrl.miningocean.org"", ""hk-upx.miningocean.org"", ""hk-zephyr.miningocean.org"", ""huadong1-aeon.ppxxmr.com"", ""iwanttoearn.money"", ""jw-js1.ppxxmr.com"", ""koto-pool.work"", ""lhr.nbminer.com"", ""lhr3.nbminer.com"", ""linux.monerpool.org"", ""lokiturtle.herominers.com"", ""luckpool.net"", ""masari.miner.rocks"", ""mine.c3pool.com"", ""mine.moneropool.com"", ""mine.ppxxmr.com"", ""mine.zpool.ca"", ""mine1.ppxxmr.com"", ""minemonero.gq"", ""miner.ppxxmr.com"", ""miner.rocks"", ""minercircle.com"", ""minergate.com"", ""minerpool.pw"", ""minerrocks.com"", ""miners.pro"", ""minerxmr.ru"", ""minexmr.cn"", ""minexmr.com"", ""mining-help.ru"", ""miningpoolhub.com"", ""mixpools.org"", ""moner.monerpool.org"", ""moner1min.monerpool.org"", ""monero-master.crypto-pool.fr"", ""monero.crypto-pool.fr"", ""monero.hashvault.pro"", ""monero.herominers.com"", ""monero.lindon-pool.win"", ""monero.miners.pro"", ""monero.riefly.id"", ""monero.us.to"", ""monerocean.stream"", ""monerogb.com"", ""monerohash.com"", ""moneroocean.stream"", ""moneropool.com"", ""moneropool.nl"", ""monerorx.com"", ""monerpool.org"", ""moriaxmr.com"", ""mro.pool.minergate.com"", ""multipool.us"", ""myxmr.pw"", ""na.luckpool.net"", ""nanopool.org"", ""nbminer.com"", ""node3.luckpool.net"", ""noobxmr.com"", ""pangolinminer.comgandalph3000.com"", ""pool.4i7i.com"", ""pool.armornetwork.org"", ""pool.cortins.tk"", ""pool.gntl.co.uk"", ""pool.hashvault.pro"", ""pool.minergate.com"", ""pool.minexmr.com"", ""pool.monero.hashvault.pro"", ""pool.ppxxmr.com"", ""pool.somec.cc"", ""pool.support"", ""pool.supportxmr.com"", ""pool.usa-138.com"", ""pool.xmr.pt"", ""pool.xmrfast.com"", ""pool2.armornetwork.org"", ""poolchange.ppxxmr.com"", ""pooldd.com"", ""poolmining.org"", ""poolto.be"", ""ppxvip1.ppxxmr.com"", ""ppxxmr.com"", ""prohash.net"", ""r.twotouchauthentication.online"", ""randomx.xmrig.com"", ""ratchetmining.com"", ""seed.emercoin.com"", ""seed.emercoin.net"", ""seed.emergate.net"", ""seed1.joulecoin.org"", ""seed2.joulecoin.org"", ""seed3.joulecoin.org"", ""seed4.joulecoin.org"", ""seed5.joulecoin.org"", ""seed6.joulecoin.org"", ""seed7.joulecoin.org"", ""seed8.joulecoin.org"", ""sg-aipg.miningocean.org"", ""sg-dynex.miningocean.org"", ""sg-neurai.miningocean.org"", ""sg-qrl.miningocean.org"", ""sg-upx.miningocean.org"", ""sg-zephyr.miningocean.org"", ""sg.minexmr.com"", ""sheepman.mine.bz"", ""siamining.com"", ""sumokoin.minerrocks.com"", ""supportxmr.com"", ""suprnova.cc"", ""teracycle.net"", ""trtl.cnpool.cc"", ""trtl.pool.mine2gether.com"", ""turtle.miner.rocks"", ""us-aipg.miningocean.org"", ""us-dynex.miningocean.org"", ""us-neurai.miningocean.org"", ""us-west.minexmr.com"", ""us-zephyr.miningocean.org"", ""usxmrpool.com"", ""viaxmr.com"", ""webservicepag.webhop.net"", ""xiazai.monerpool.org"", ""xiazai1.monerpool.org"", ""xmc.pool.minergate.com"", ""xmo.pool.minergate.com"", ""xmr-asia1.nanopool.org"", ""xmr-au1.nanopool.org"", ""xmr-eu1.nanopool.org"", ""xmr-eu2.nanopool.org"", ""xmr-jp1.nanopool.org"", ""xmr-us-east1.nanopool.org"", ""xmr-us-west1.nanopool.org"", ""xmr-us.suprnova.cc"", ""xmr-usa.dwarfpool.com"", ""xmr.2miners.com"", ""xmr.5b6b7b.ru"", ""xmr.alimabi.cn"", ""xmr.bohemianpool.com"", ""xmr.crypto-pool.fr"", ""xmr.crypto-pool.info"", ""xmr.f2pool.com"", ""xmr.hashcity.org"", ""xmr.hex7e4.ru"", ""xmr.ip28.net"", ""xmr.monerpool.org"", ""xmr.mypool.online"", ""xmr.nanopool.org"", ""xmr.pool.gntl.co.uk"", ""xmr.pool.minergate.com"", ""xmr.poolto.be"", ""xmr.ppxxmr.com"", ""xmr.prohash.net"", ""xmr.simka.pw"", ""xmr.somec.cc"", ""xmr.suprnova.cc"", ""xmr.usa-138.com"", ""xmr.vip.pool.minergate.com"", ""xmr1min.monerpool.org"", ""xmrf.520fjh.org"", ""xmrf.fjhan.club"", ""xmrfast.com"", ""xmrigcc.graef.in"", ""xmrminer.cc"", ""xmrpool.de"", ""xmrpool.eu"", ""xmrpool.me"", ""xmrpool.net"", ""xmrpool.xyz"", ""xx11m.monerpool.org"", ""xx11mv2.monerpool.org"", ""xxx.hex7e4.ru"", ""zarabotaibitok.ru"", ""zer0day.ru"")"
"Potential Dead Drop Resolvers","Sorina Ionescu, X__Junior (Nextron Systems)","Detects an executable, which is not an internet browser or known application, initiating network connections to legit popular websites, which were seen to be used as dead drop resolvers in previous attacks.
In this context attackers leverage known websites such as ""facebook"", ""youtube"", etc. In order to pass through undetected.
","attack.command_and_control, attack.t1102, attack.t1102.001","network_connection","windows","Not classified","Review the process image path and destination hostname to determine if the connection is suspicious. 
Check the reputation of the process and destination hostname using threat intelligence feeds. 
Analyze the frequency and volume of connections to these popular websites for anomalies. 
Correlate network connection events with other security events to identify potential malicious behavior.","Legitimate applications accessing the listed popular websites for normal operations. 
Automated update mechanisms of known applications may trigger connections to these websites. 
Cloud-based services or legitimate tools using these websites for communication. 
Whitelisted tools or scripts that have a legitimate reason to connect to these websites.","Initiated=""true"" DestinationHostname IN (""*.t.me"", ""*4shared.com"", ""*anonfiles.com"", ""*cdn.discordapp.com"", ""*cloudflare.com"", ""*ddns.net"", ""*discord.com"", ""*docs.google.com"", ""*drive.google.com"", ""*dropbox.com"", ""*dropmefiles.com"", ""*facebook.com"", ""*feeds.rapidfeeds.com"", ""*fotolog.com"", ""*ghostbin.co/"", ""*githubusercontent.com"", ""*gofile.io"", ""*hastebin.com"", ""*imgur.com"", ""*livejournal.com"", ""*mediafire.com"", ""*mega.co.nz"", ""*mega.nz"", ""*onedrive.com"", ""*paste.ee"", ""*pastebin.com"", ""*pastebin.pl"", ""*pastetext.net"", ""*privatlab.com"", ""*privatlab.net"", ""*reddit.com"", ""*send.exploit.in"", ""*sendspace.com"", ""*steamcommunity.com"", ""*storage.googleapis.com"", ""*technet.microsoft.com"", ""*temp.sh"", ""*transfer.sh"", ""*twitter.com"", ""*ufile.io"", ""*abuse.ch"", ""*vimeo.com"", ""*wetransfer.com"", ""*youtube.com"") NOT (Image IN (""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"", ""C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe"") OR (Image=""C:\\Users\\*"" Image=""*\\AppData\\Local\\Google\\Chrome\\Application\\chrome.exe"") OR Image IN (""C:\\Program Files\\Mozilla Firefox\\firefox.exe"", ""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"") OR (Image=""C:\\Users\\*"" Image=""*\\AppData\\Local\\Mozilla Firefox\\firefox.exe"") OR Image IN (""C:\\Program Files (x86)\\Internet Explorer\\iexplore.exe"", ""C:\\Program Files\\Internet Explorer\\iexplore.exe"") OR Image=""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\*"" OR Image=""*\\WindowsApps\\MicrosoftEdge.exe"" OR Image IN (""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"", ""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"") OR (Image IN (""C:\\Program Files (x86)\\Microsoft\\EdgeCore\\*"", ""C:\\Program Files\\Microsoft\\EdgeCore\\*"") Image IN (""*\\msedge.exe"", ""*\\msedgewebview2.exe"")) OR (Image IN (""*C:\\Program Files (x86)\\Safari\\*"", ""*C:\\Program Files\\Safari\\*"") Image=""*\\safari.exe"") OR (Image IN (""*C:\\Program Files\\Windows Defender Advanced Threat Protection\\*"", ""*C:\\Program Files\\Windows Defender\\*"", ""*C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\*"") Image IN (""*\\MsMpEng.exe"", ""*\\MsSense.exe"")) OR Image IN (""*C:\\Program Files (x86)\\PRTG Network Monitor\\PRTG Probe.exe"", ""*C:\\Program Files\\PRTG Network Monitor\\PRTG Probe.exe"") OR (Image=""C:\\Program Files\\BraveSoftware\\*"" Image=""*\\brave.exe"") OR (Image=""*\\AppData\\Local\\Maxthon\\*"" Image=""*\\maxthon.exe"") OR (Image=""*\\AppData\\Local\\Programs\\Opera\\*"" Image=""*\\opera.exe"") OR (Image IN (""C:\\Program Files\\SeaMonkey\\*"", ""C:\\Program Files (x86)\\SeaMonkey\\*"") Image=""*\\seamonkey.exe"") OR (Image=""*\\AppData\\Local\\Vivaldi\\*"" Image=""*\\vivaldi.exe"") OR (Image IN (""C:\\Program Files\\Naver\\Naver Whale\\*"", ""C:\\Program Files (x86)\\Naver\\Naver Whale\\*"") Image=""*\\whale.exe"") OR (Image IN (""C:\\Program Files\\Waterfox\\*"", ""C:\\Program Files (x86)\\Waterfox\\*"") Image=""*\\Waterfox.exe"") OR (Image=""*\\AppData\\Local\\Programs\\midori-ng\\*"" Image=""*\\Midori Next Generation.exe"") OR (Image IN (""C:\\Program Files\\SlimBrowser\\*"", ""C:\\Program Files (x86)\\SlimBrowser\\*"") Image=""*\\slimbrowser.exe"") OR (Image=""*\\AppData\\Local\\Flock\\*"" Image=""*\\Flock.exe"") OR (Image=""*\\AppData\\Local\\Phoebe\\*"" Image=""*\\Phoebe.exe"") OR (Image IN (""C:\\Program Files\\Falkon\\*"", ""C:\\Program Files (x86)\\Falkon\\*"") Image=""*\\falkon.exe"") OR (Image IN (""C:\\Program Files (x86)\\QtWeb\\*"", ""C:\\Program Files\\QtWeb\\*"") Image=""*\\QtWeb.exe"") OR (Image IN (""C:\\Program Files (x86)\\Avant Browser\\*"", ""C:\\Program Files\\Avant Browser\\*"") Image=""*\\avant.exe"") OR (Image IN (""C:\\Program Files (x86)\\WindowsApps\\*"", ""C:\\Program Files\\WindowsApps\\*"") Image=""*\\WhatsApp.exe"" DestinationHostname=""*facebook.com"") OR (Image=""*\\AppData\\Roaming\\Telegram Desktop\\*"" Image=""*\\Telegram.exe"" DestinationHostname=""*.t.me"") OR (Image=""*\\AppData\\Local\\Microsoft\\OneDrive\\*"" Image=""*\\OneDrive.exe"" DestinationHostname=""*onedrive.com"") OR (Image IN (""C:\\Program Files (x86)\\Dropbox\\Client\\*"", ""C:\\Program Files\\Dropbox\\Client\\*"") Image IN (""*\\Dropbox.exe"", ""*\\DropboxInstaller.exe"") DestinationHostname=""*dropbox.com"") OR (Image IN (""*\\MEGAsync.exe"", ""*\\MEGAsyncSetup32_*RC.exe"", ""*\\MEGAsyncSetup32.exe"", ""*\\MEGAsyncSetup64.exe"", ""*\\MEGAupdater.exe"") DestinationHostname IN (""*mega.co.nz"", ""*mega.nz"")) OR (Image IN (""*C:\\Program Files\\Google\\Drive File Stream\\*"", ""*C:\\Program Files (x86)\\Google\\Drive File Stream\\*"") Image=""*GoogleDriveFS.exe"" DestinationHostname=""*drive.google.com"") OR (Image=""*\\AppData\\Local\\Discord\\*"" Image=""*\\Discord.exe"" DestinationHostname IN (""*discord.com"", ""*cdn.discordapp.com"")))"
"Suspicious Dropbox API Usage","Florian Roth (Nextron Systems)","Detects an executable that isn't dropbox but communicates with the Dropbox API","attack.command_and_control, attack.t1105","network_connection","windows","Not classified","Check the process reputation and known behavior of the executable communicating with Dropbox API 
Verify if the communication with Dropbox API is part of a sanctioned activity within the organization 
Analyze the network traffic to understand the nature of data being exchanged with Dropbox API 
Cross-reference the executable with threat intelligence feeds to identify any malicious indicators","Legitimate use of Dropbox API by authorized applications 
Use of legitimate Dropbox-related tools 
Use of Dropbox API by known security tools","Initiated=""true"" DestinationHostname IN (""*api.dropboxapi.com"", ""*content.dropboxapi.com"") NOT Image=""*\\Dropbox*"""
"Microsoft Binary Suspicious Communication Endpoint","Florian Roth (Nextron Systems), Nasreddine Bencherchali (Nextron Systems)","Detects executables located in potentially suspicious directories initiating network connections towards file sharing domains.","attack.command_and_control, attack.t1105","network_connection","windows","Not classified","Review the process and parent process to determine if the communication is initiated by a legitimate executable. 
Check if the communication is part of a known software update or installation process. 
Investigate the reputation and purpose of the destination domain to assess the legitimacy of the communication. 
Correlate the network connection with other security events to identify any malicious behavior or indicators of compromise.","Legitimate software updates or installations that use temporary directories to communicate with file sharing domains. 
Scheduled tasks or system processes that interact with the listed domains for legitimate purposes. 
Development tools or scripts that may trigger false positives due to their nature of communication with these domains. 
Cloud-based applications or services that utilize the mentioned file sharing domains for legitimate data transfer.","Image IN (""*:\\PerfLogs\\*"", ""*:\\Temp\\*"", ""*:\\Users\\Public\\*"", ""*:\\Windows\\System32\\Tasks\\*"", ""*:\\Windows\\Tasks\\*"", ""*:\\Windows\\Temp\\*"", ""*\\AppData\\Temp\\*"") Initiated=""true"" DestinationHostname IN (""*.githubusercontent.com"", ""*anonfiles.com"", ""*cdn.discordapp.com"", ""*cdn.discordapp.com/attachments/"", ""*ddns.net"", ""*dl.dropboxusercontent.com"", ""*ghostbin.co"", ""*glitch.me"", ""*gofile.io"", ""*hastebin.com"", ""*mediafire.com"", ""*mega.co.nz"", ""*mega.nz"", ""*onrender.com"", ""*paste.ee"", ""*pastebin.com"", ""*pastebin.pl"", ""*pastetext.net"", ""*privatlab.com"", ""*privatlab.net"", ""*send.exploit.in"", ""*sendspace.com"", ""*storage.googleapis.com"", ""*storjshare.io"", ""*supabase.co"", ""*temp.sh"", ""*transfer.sh"", ""*ufile.io"")"
"Potentially Suspicious Malware Callback Communication","Florian Roth (Nextron Systems)","Detects programs that connect to known malware callback ports based on statistical analysis from two different sandbox system databases
","attack.persistence, attack.command_and_control, attack.t1571","network_connection","windows","Not classified","Verify the process initiating the connection to determine if it is a known legitimate software 
Check if the destination IP address is within the internal network range 
Review the process image path to confirm if it belongs to a trusted system directory 
Cross-reference the destination port with known business applications to rule out false positives","Legitimate software using non-standard ports may trigger false positives 
Internal security tools or monitoring systems may trigger alerts 
Legitimate connections to specific ports for business purposes may be flagged incorrectly"
"Suspicious Outbound Kerberos Connection","Ilyas Ochkov, oscd.community","Detects suspicious outbound network activity via kerberos default port indicating possible lateral movement or first stage PrivEsc via delegation.","attack.credential_access, attack.t1558, attack.lateral_movement, attack.t1550.003","network_connection","windows","Not classified","Review the network traffic logs to identify the source and destination of the Kerberos connection 
Check if the Kerberos traffic is part of a known legitimate operation or communication 
Correlate the Kerberos connection with other security events or logs to determine the context of the activity 
Inspect the processes running on the systems involved in the suspicious Kerberos connection","Legitimate Kerberos traffic within the network 
Scheduled tasks or legitimate applications using Kerberos authentication 
Network devices or services that rely on Kerberos for authentication","DestinationPort=88 Initiated=""true"" NOT (Image IN (""C:\\Windows\\System32\\lsass.exe"", ""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"", ""C:\\Program Files\\Mozilla Firefox\\firefox.exe""))"
"Suspicious Program Location with Network Connections","Florian Roth (Nextron Systems), Tim Shelton","Detects programs with network connections running in suspicious files system locations","attack.command_and_control, attack.t1105","network_connection","windows","Not classified","Check if the program in the suspicious location is a known legitimate software 
Analyze the network connections made by the program for any malicious activity 
Verify if the files in the suspicious location are related to system processes or user activity 
Investigate if there are any scheduled tasks or scripts triggering the program in the suspicious location","Legitimate software installed in system folders 
Temporary files created by system processes 
Updates or installations from trusted sources","Image IN (""*:\\$Recycle.bin*"", ""*:\\Perflogs\\*"", ""*:\\Users\\Default\\*"", ""*:\\Users\\Public\\*"", ""*:\\Windows\\Fonts\\*"", ""*:\\Windows\\IME\\*"", ""*\\config\\systemprofile\\*"", ""*\\Windows\\addins\\*"") NOT Image=""*:\\Users\\Public\\IBM\\ClientSolutions\\Start_Programs\\*"""
"Potential Remote PowerShell Session Initiated","Roberto Rodriguez @Cyb3rWard0g","Detects a process that initiated a network connection over ports 5985 or 5986 from a non-network service account.
This could potentially indicates a remote PowerShell connection.
","attack.execution, attack.t1059.001, attack.lateral_movement, attack.t1021.006","network_connection","windows","Not classified","Review the process command line arguments and parent process to determine the intent of the remote PowerShell session 
Check for any scheduled tasks or scripts that may be triggering the detection 
Investigate the network traffic to understand the nature of the connection and validate if it aligns with legitimate use cases 
Correlate the event with other security logs to identify any suspicious activities or indicators of compromise","Scheduled tasks or scripts legitimately using remote PowerShell 
Third-party applications or services that utilize remote PowerShell for management 
Network monitoring tools that establish remote PowerShell connections","DestinationPort IN (5985, 5986) Initiated=""true"" SourceIsIpv6=""false"" NOT (User IN (""*NETWORK SERVICE*"", ""*NETZWERKDIENST*"", ""*SERVICIO DE RED*"", ""*SERVIZIO DI RETE*"") OR (User=""*SERVICE R*"" User=""*SEAU*"") OR (SourceIp IN (""::1"", ""127.0.0.1"") DestinationIp IN (""::1"", ""127.0.0.1""))) NOT (Image IN (""C:\\Program Files\\Avast Software\\Avast\\AvastSvc.exe"", ""C:\\Program Files (x86)\\Avast Software\\Avast\\AvastSvc.exe""))"
"CobaltStrike Named Pipe","Florian Roth (Nextron Systems), Wojciech Lesicki","Detects the creation of a named pipe as used by CobaltStrike","attack.defense_evasion, attack.privilege_escalation, attack.t1055","pipe_created","windows","Not classified","Verify the legitimacy of the named pipe creation by correlating with authorized activities or known applications 
Check for any administrative scripts or tools that may be responsible for creating the named pipe 
Review security tool logs to identify any interactions with named pipes that could have triggered the alert 
Compare the named pipe creation with baseline data to determine if it deviates from normal behavior","Legitimate use of named pipes by other applications 
Legitimate administrative activities 
False alarms triggered by security tools interacting with named pipes","(PipeName=""*\\MSSE-*"" PipeName=""*-server*"") OR PipeName=""\\postex_*"" OR PipeName=""\\status_*"" OR PipeName=""\\msagent_*"" OR PipeName=""\\mojo_*"" OR PipeName=""\\interprocess_*"" OR PipeName=""\\samr_*"" OR PipeName=""\\netlogon_*"" OR PipeName=""\\srvsvc_*"" OR PipeName=""\\lsarpc_*"" OR PipeName=""\\wkssvc_*"""
"CobaltStrike Named Pipe Pattern Regex","Florian Roth (Nextron Systems)","Detects the creation of a named pipe matching a pattern used by CobaltStrike Malleable C2 profiles","attack.defense_evasion, attack.privilege_escalation, attack.t1055","pipe_created","windows","Not classified","Verify the process that created the named pipe to determine if it is a legitimate action 
Check if the named pipe creation aligns with any known software installations or updates 
Investigate the system for signs of CobaltStrike activity beyond just the named pipe creation 
Compare the named pipe pattern with historical data to identify any recurring false positives","Legitimate software or system processes may create named pipes that match the pattern 
Development or testing environments may trigger false positives 
Third-party applications or security tools may generate similar named pipes 
Legacy systems or applications might use naming conventions that trigger the rule"
"CobaltStrike Named Pipe Patterns","Florian Roth (Nextron Systems), Christian Burkard (Nextron Systems)","Detects the creation of a named pipe with a pattern found in CobaltStrike malleable C2 profiles","attack.defense_evasion, attack.privilege_escalation, attack.t1055, stp.1k","pipe_created","windows","Not classified","Review the process creating the named pipe to determine if it is a known legitimate process or a suspicious one 
Check if the named pipe is associated with any known applications or services in the environment 
Analyze the network traffic associated with the named pipe for any anomalous behavior or communication patterns 
Correlate the creation of the named pipe with other security events or indicators of compromise to assess the potential threat level","Legitimate applications or services using pipe names similar to CobaltStrike patterns 
Development or testing environments creating named pipes resembling CobaltStrike patterns 
Third-party security tools or monitoring agents generating false positives due to pipe naming conventions","PipeName IN (""\\DserNamePipe*"", ""\\f4c3*"", ""\\f53f*"", ""\\fullduplex_*"", ""\\mojo.5688.8052.183894939787088877*"", ""\\mojo.5688.8052.35780273329370473*"", ""\\MsFteWds*"", ""\\msrpc_*"", ""\\mypipe-f*"", ""\\mypipe-h*"", ""\\ntsvcs*"", ""\\PGMessagePipe*"", ""\\rpc_*"", ""\\scerpc*"", ""\\SearchTextHarvester*"", ""\\spoolss*"", ""\\win_svc*"", ""\\win\\msrpc_*"", ""\\windows.update.manager*"", ""\\wkssvc*"") OR PipeName IN (""\\demoagent_11"", ""\\demoagent_22"") OR (PipeName=""\\Winsock2\\CatalogChangeListener-*"" PipeName=""*-0,"") NOT (PipeName IN (""\\wkssvc"", ""\\spoolss"", ""\\scerpc"", ""\\ntsvcs"", ""\\SearchTextHarvester"", ""\\PGMessagePipe"", ""\\MsFteWds"")) NOT (Image IN (""*:\\Program Files\\Websense\\*"", ""*:\\Program Files (x86)\\Websense\\*"") PipeName IN (""\\DserNamePipeR*"", ""\\DserNamePipeW*""))"
"HackTool - Credential Dumping Tools Named Pipe Created","Teymur Kheirkhabarov, oscd.community","Detects well-known credential dumping tools execution via specific named pipe creation","attack.credential_access, attack.t1003.001, attack.t1003.002, attack.t1003.004, attack.t1003.005","pipe_created","windows","Not classified","Check if the named pipe creation was triggered by a known legitimate tool or process 
Review the activity of the user associated with the named pipe creation 
Correlate with other security events to determine if there are signs of malicious activity 
Verify the purpose of the named pipe creation with the system or network administrators","Legitimate Administrator using password recovery tools 
Legitimate system administration activities 
Backup software creating named pipes 
Legitimate software using named pipes for communication","PipeName IN (""*\\cachedump*"", ""*\\lsadump*"", ""*\\wceservicepipe*"")"
"Malicious Named Pipe Created","Florian Roth (Nextron Systems), blueteam0ps, elhoim","Detects the creation of a named pipe seen used by known APTs or malware.","attack.defense_evasion, attack.privilege_escalation, attack.t1055","pipe_created","windows","Not classified","Verify the process that created the named pipe to determine if it is a known legitimate process 
Check if the named pipe creation aligns with any scheduled tasks or known system activities 
Analyze the network traffic associated with the named pipe for any suspicious behavior 
Cross-reference the named pipe creation with endpoint and network logs for additional context","Legitimate software or system processes may create named pipes that match the detection criteria 
Development or testing environments may use named pipes that trigger the detection 
Certain security tools or monitoring agents may also create named pipes that could be flagged","PipeName IN (""\\46a676ab7f179e511e30dd2dc41bd388"", ""\\583da945-62af-10e8-4902-a8f205c72b2e"", ""\\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7"", ""\\9f81f59bc58452127884ce513865ed20"", ""\\adschemerpc"", ""\\ahexec"", ""\\AnonymousPipe"", ""\\bc31a7"", ""\\bc367"", ""\\bizkaz"", ""\\csexecsvc"", ""\\dce_3d"", ""\\e710f28d59aa529d6792ca6ff0ca1b34"", ""\\gruntsvc"", ""\\isapi_dg"", ""\\isapi_dg2"", ""\\isapi_http"", ""\\jaccdpqnvbrrxlaf"", ""\\lsassw"", ""\\NamePipe_MoreWindows"", ""\\pcheap_reuse"", ""\\Posh*"", ""\\rpchlp_3"", ""\\sdlrpc"", ""\\svcctl"", ""\\testPipe"", ""\\winsession"")"
"CMSTP Execution Process Access","Nik Seetharaman","Detects various indicators of Microsoft Connection Manager Profile Installer execution","attack.defense_evasion, attack.t1218.003, attack.execution, attack.t1559.001, attack.g0069, attack.g0080, car.2019-04-001","process_access","windows","Not classified","Check if the CMSTP execution was part of a legitimate software installation process 
Review the context of the cmlua.dll call to determine if it was triggered by a known application or script 
Verify if the CMSTP execution was authorized and expected in the environment 
Investigate if there are any documented procedures or tickets related to the CMSTP activity","Legitimate use of CMSTP in specific enterprise environments where it is a sanctioned tool 
Use of cmlua.dll in non-malicious activities 
Known software or scripts that may trigger cmlua.dll calls 
Legitimate software installation processes that involve CMSTP","CallTrace=""*cmlua.dll*"""
"HackTool - CobaltStrike BOF Injection Pattern","Christian Burkard (Nextron Systems)","Detects a typical pattern of a CobaltStrike BOF which inject into other processes","attack.execution, attack.t1106, attack.defense_evasion, attack.t1562.001","process_access","windows","Not classified","Verify the activity with authorized red teaming or penetration testing teams to confirm the use of CobaltStrike 
Check if the behavior is associated with known legitimate software or system processes 
Review the regular expression used in the detection to understand its complexity and potential for false positives 
Correlate the alert with other security events or logs to determine the context of the activity","Legitimate use of process injection tools like CobaltStrike for authorized red teaming or penetration testing activities 
Legitimate software or system processes that may exhibit similar behavior 
False positives may occur due to the complexity of the regular expression used in the detection","GrantedAccess IN (""0x1028"", ""0x1fffff"")\"
