"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"Vulnerable HackSys Extreme Vulnerable Driver Load","Nasreddine Bencherchali (Nextron Systems)","Detects the load of HackSys Extreme Vulnerable Driver which is an intentionally vulnerable Windows driver developed for security enthusiasts to learn and polish their exploitation skills at Kernel level and often abused by threat actors","attack.privilege_escalation, attack.t1543.003","driver_load","windows","Not classified","Check Windows event logs for driver load events with the image name ending with \HEVD.sys. 
Review Sysmon logs for processes with the specified IMPHASH values. 
Inspect other log sources that capture driver load events and check for the specified IMPHASH values.","Unlikely","ImageLoaded=""*\\HEVD.sys"" OR Hashes IN (""*IMPHASH=f26d0b110873a1c7d8c4f08fbeab89c5*"", ""*IMPHASH=c46ea2e651fd5f7f716c8867c6d13594*"") OR Imphash IN (""f26d0b110873a1c7d8c4f08fbeab89c5"", ""c46ea2e651fd5f7f716c8867c6d13594"")"
"Vulnerable WinRing0 Driver Load","Florian Roth (Nextron Systems)","Detects the load of a signed WinRing0 driver often used by threat actors, crypto miners (XMRIG) or malware for privilege escalation","attack.privilege_escalation, attack.t1543.003","driver_load","windows","Not classified","Check Windows Event Logs for driver load events with the following image names WinRing0x64.sys, WinRing0.sys, WinRing0.dll, WinRing0x64.dll, winring00x64.sys 
Review Sysmon logs for processes with the IMPHASH=D41FA95D4642DC981F10DE36F4DC8CD7 hash value 
Inspect other log sources that capture driver load events and look for the Imphash value d41fa95d4642dc981f10de36f4dc8cd7","Unknown","ImageLoaded IN (""*\\WinRing0x64.sys"", ""*\\WinRing0.sys"", ""*\\WinRing0.dll"", ""*\\WinRing0x64.dll"", ""*\\winring00x64.sys"") OR Hashes=""*IMPHASH=D41FA95D4642DC981F10DE36F4DC8CD7*"" OR Imphash=""d41fa95d4642dc981f10de36f4dc8cd7"""
"WinDivert Driver Load","Florian Roth (Nextron Systems)","Detects the load of the Windiver driver, a powerful user-mode capture/sniffing/modification/blocking/re-injection package for Windows","attack.collection, attack.defense_evasion, attack.t1599.001, attack.t1557.001","driver_load","windows","Not classified","Check the process that loaded the WinDivert driver and verify if it is a legitimate usage. 
Review the command-line arguments and parent process of the process that loaded the driver. 
Check if the driver is loaded from a trusted source or if it is signed by a trusted certificate authority. 
Analyze network traffic to identify any suspicious behavior or communication associated with the loaded driver. 
Monitor for any additional suspicious activities or processes that may be related to the WinDivert driver.","Legitimate WinDivert driver usage","ImageLoaded IN (""*\\WinDivert.sys*"", ""*\\WinDivert64.sys*"", ""*\\NordDivert.sys*"", ""*\\lingtiwfp.sys*"", ""*\\eswfp.sys*"") OR Hashes IN (""*IMPHASH=0604bb7cb4bb851e2168d5c7d9399087*"", ""*IMPHASH=2e5f0e649d97f32b03c09e4686d0574f*"", ""*IMPHASH=52f8aa269f69f0edad9e8fcdaedce276*"", ""*IMPHASH=c0e5d314da39dbf65a2dbff409cc2c76*"", ""*IMPHASH=58623490691babe8330adc81cd04a663*"", ""*IMPHASH=8ee39b48656e4d6b8459d7ba7da7438b*"", ""*IMPHASH=45ee545ae77e8d43fc70ede9efcd4c96*"", ""*IMPHASH=a1b2e245acd47e4a348e1a552a02859a*"", ""*IMPHASH=2a5f85fe4609461c6339637594fa9b0a*"", ""*IMPHASH=6b2c6f95233c2914d1d488ee27531acc*"", ""*IMPHASH=9f2fdd3f9ab922bbb0560a7df46f4342*"", ""*IMPHASH=d8a719865c448b1bd2ec241e46ac1c88*"", ""*IMPHASH=0ea54f8c9af4a2fe8367fa457f48ed38*"", ""*IMPHASH=9d519ae0a0864d6d6ae3f8b6c9c70af6*"", ""*IMPHASH=a74929edfc3289895e3f2885278947ae*"", ""*IMPHASH=a66b476c2d06c370f0a53b5537f2f11e*"", ""*IMPHASH=bdcd836a46bc2415773f6b5ea77a46e4*"", ""*IMPHASH=c28cd6ccd83179e79dac132a553693d9*"") OR Imphash IN (""0604bb7cb4bb851e2168d5c7d9399087"", ""2e5f0e649d97f32b03c09e4686d0574f"", ""52f8aa269f69f0edad9e8fcdaedce276"", ""c0e5d314da39dbf65a2dbff409cc2c76"", ""58623490691babe8330adc81cd04a663"", ""8ee39b48656e4d6b8459d7ba7da7438b"", ""45ee545ae77e8d43fc70ede9efcd4c96"", ""a1b2e245acd47e4a348e1a552a02859a"", ""2a5f85fe4609461c6339637594fa9b0a"", ""6b2c6f95233c2914d1d488ee27531acc"", ""9f2fdd3f9ab922bbb0560a7df46f4342"", ""d8a719865c448b1bd2ec241e46ac1c88"", ""0ea54f8c9af4a2fe8367fa457f48ed38"", ""9d519ae0a0864d6d6ae3f8b6c9c70af6"", ""a74929edfc3289895e3f2885278947ae"", ""a66b476c2d06c370f0a53b5537f2f11e"", ""bdcd836a46bc2415773f6b5ea77a46e4"", ""c28cd6ccd83179e79dac132a553693d9"")"
"Load Of Dbghelp/Dbgcore DLL From Suspicious Process","Perez Diego (@darkquassar), oscd.community, Ecco","Detects the load of dbghelp/dbgcore DLL (used to make memory dumps) by suspicious processes.
Tools like ProcessHacker and some attacker tradecraft use MiniDumpWriteDump API found in dbghelp.dll or dbgcore.dll.
As an example, SilentTrynity C2 Framework has a module that leverages this API to dump the contents of Lsass.exe and transfer it over the network back to the attacker's machine.
","attack.credential_access, attack.t1003.001","image_load","windows","Not classified","Check the process that loaded the dbghelp.dll or dbgcore.dll 
Verify if the process is suspicious or authorized 
Review the command line arguments and parent process of the suspicious process 
Cross-reference with known legitimate uses of the MiniDumpWriteDump API 
Analyze the behavior and network activity of the process 
Look for any signs of data exfiltration or unusual network connections 
Check for any other indicators of compromise (IOCs) associated with the process 
Consult with the system owner or relevant stakeholders to confirm legitimacy","Legitimate use of dbghelp/dbgcore DLL by authorized processes 
Legitimate use of the MiniDumpWriteDump API by authorized tools 
Legitimate use of the listed processes for normal operations","ImageLoaded IN (""*\\dbghelp.dll"", ""*\\dbgcore.dll"") Image IN (""*\\msbuild.exe"", ""*\\cmd.exe"", ""*\\rundll32.exe"", ""*\\winword.exe"", ""*\\excel.exe"", ""*\\powerpnt.exe"", ""*\\outlook.exe"", ""*\\monitoringhost.exe"", ""*\\wmic.exe"", ""*\\bash.exe"", ""*\\wscript.exe"", ""*\\cscript.exe"", ""*\\mshta.exe"", ""*\\dnx.exe"", ""*\\regsvcs.exe"", ""*\\sc.exe"", ""*\\scriptrunner.exe"") NOT (CommandLine=""C:\\WINDOWS\\winsxs\\*"" CommandLine=""*\\TiWorker.exe -Embedding"")"
"Suspicious Unsigned Dbghelp/Dbgcore DLL Loaded","Perez Diego (@darkquassar), oscd.community, Ecco","Detects the load of dbghelp/dbgcore DLL (used to make memory dumps) by suspicious processes.
Tools like ProcessHacker and some attacker tradecract use MiniDumpWriteDump API found in dbghelp.dll or dbgcore.dll.
As an example, SilentTrynity C2 Framework has a module that leverages this API to dump the contents of Lsass.exe and transfer it over the network back to the attacker's machine.
","attack.credential_access, attack.t1003.001","image_load","windows","Not classified","Review the process that loaded the dbghelp/dbgcore DLLs for any suspicious behavior or indicators of compromise. 
Check if the process is a known legitimate debugging tool or software that uses dbghelp/dbgcore DLLs. 
Analyze the network traffic of the process to identify any suspicious communication with external systems. 
Inspect the memory dumps created by the process for any sensitive or unauthorized data. 
Cross-reference the process with known threat intelligence sources to identify any malicious associations.","Legitimate debugging tools or software that use dbghelp/dbgcore DLLs","ImageLoaded IN (""*\\dbghelp.dll"", ""*\\dbgcore.dll"") Signed=""false"""
"PCRE.NET Package Image Load","Roberto Rodriguez (Cyb3rWard0g), OTR (Open Threat Research)","Detects processes loading modules related to PCRE.NET package","attack.execution, attack.t1059","image_load","windows","Not classified","Check the process name and path of the loaded module to determine if it is related to PCRE.NET package. 
Review the process execution context and behavior to identify any suspicious or malicious activity. 
Cross-reference the loaded module with known good or bad indicators of compromise (IOCs) to determine its reputation. 
Analyze the parent-child relationship of the process loading the module to identify any anomalous behavior or suspicious chain of execution.","Legitimate processes loading modules related to PCRE.NET package","ImageLoaded=""*\\AppData\\Local\\Temp\\ba9ea7344a4a5f591d6e5dc32a13494b\\*"""
"Time Travel Debugging Utility Usage - Image","Ensar Şamil, @sblmsrsn, @oscd_initiative","Detects usage of Time Travel Debugging Utility. Adversaries can execute malicious processes and dump processes, such as lsass.exe, via tttracer.exe.","attack.defense_evasion, attack.credential_access, attack.t1218, attack.t1003.001","image_load","windows","Not classified","Check for any legitimate usage of Time Travel Debugging Utility by software developers or testers. Look for any authorized processes or tools that may be using the tttracer.exe binary. Review the logs from the image load events on Windows systems to identify any suspicious activity related to the loading of ttdrecord.dll, ttdwriter.dll, or ttdloader.dll. Some log sources that may be useful for investigation include 
Windows Event Logs Look for Event ID 7 in the System event log, which indicates the loading of a DLL. 
Sysmon Logs Check for events with Event ID 7, which captures image load events. 
Endpoint Security Logs Review logs from endpoint security solutions, such as antivirus or EDR tools, for any alerts or detections related to the Time Travel Debugging Utility or the tttracer.exe binary. 
Process Monitoring Logs Analyze logs from process monitoring tools, such as Procmon or Sysinternals Process Explorer, to identify any suspicious processes or activity related to the Time Travel Debugging Utility.","Legitimate usage by software developers/testers","ImageLoaded IN (""*\\ttdrecord.dll"", ""*\\ttdwriter.dll"", ""*\\ttdloader.dll"")"
"HackTool - SILENTTRINITY Stager DLL Load","Aleksey Potapov, oscd.community","Detects SILENTTRINITY stager dll loading activity","attack.command_and_control, attack.t1071","image_load","windows","Not classified","Review Windows event logs for image load events with st2stager in the description field.","Unlikely","Description=""*st2stager*"""
"Potential DCOM InternetExplorer.Application DLL Hijack - Image Load","Roberto Rodriguez @Cyb3rWard0g, Open Threat Research (OTR), wagga","Detects potential DLL hijack of ""iertutil.dll"" found in the DCOM InternetExplorer.Application Class","attack.lateral_movement, attack.t1021.002, attack.t1021.003","image_load","windows","Not classified","Review the process tree and command-line arguments of the iexplore.exe process to determine if it is being launched in an unexpected or suspicious manner. 
Check the digital signature of the iertutil.dll file to verify its authenticity. 
Monitor for any abnormal behavior or network connections initiated by the iexplore.exe process. 
Inspect the file system and registry for any signs of tampering or unauthorized modifications related to iexplore.exe or iertutil.dll. 
Cross-reference the detection with other security events or alerts to identify any correlated suspicious activities.","Legitimate updates or installations of Internet Explorer or related software may trigger this detection.","Image=""*\\Internet Explorer\\iexplore.exe"" ImageLoaded=""*\\Internet Explorer\\iertutil.dll"""
"GAC DLL Loaded Via Office Applications","Antonlovesdnb","Detects any GAC DLL being loaded by an Office Product","attack.execution, attack.t1204.002","image_load","windows","Not classified","Check the process name and path of the loaded DLL 
Verify if the DLL is being loaded by one of the specified Office applications (e.g., excel.exe, winword.exe) 
Review the parent process and command line arguments for any suspicious activity 
Cross-reference the loaded DLL with known good DLLs from the GAC 
Analyze any associated network connections or file modifications made by the process 
Look for any other indicators of compromise or suspicious behavior in the system logs","Legitimate usage of GAC DLLs by Office applications during normal operation","Image IN (""*\\excel.exe"", ""*\\mspub.exe"", ""*\\onenote.exe"", ""*\\onenoteim.exe"", ""*\\outlook.exe"", ""*\\powerpnt.exe"", ""*\\winword.exe"") ImageLoaded=""C:\\Windows\\Microsoft.NET\\assembly\\GAC_MSIL*"""
"Microsoft VBA For Outlook Addin Loaded Via Outlook","Nasreddine Bencherchali (Nextron Systems)","Detects outlvba (Microsoft VBA for Outlook Addin) DLL being loaded by the outlook process","attack.execution, attack.t1204.002","image_load","windows","Not classified","Check for any legitimate macro usage in the environment. 
Review logs from the image_load category in the Windows event logs. 
Look for instances where the outlook.exe process loads the outlvba.dll file.","Legitimate macro usage. Add the appropriate filter according to your environment","Image=""*\\outlook.exe"" ImageLoaded=""\\outlvba.dll*"""
"VBA DLL Loaded Via Office Application","Antonlovesdnb","Detects VB DLL's loaded by an office application. Which could indicate the presence of VBA Macros.","attack.execution, attack.t1204.002","image_load","windows","Not classified","Check the image load events in your Windows security event logs (or equivalent) for any matches to this rule. 
Look for details in the events, including the ""Image"" and ""ImageLoaded"" fields, to identify the specific office application and DLL that triggered the detection. 
Consider cross-referencing the events with other logs and data sources to confirm the presence of VBA macros or any suspicious activity. 
Investigate the context of the event, such as the user account and the timing of the detection, to determine if further action is necessary.","This rule may generate false positives in environments where legitimate VBA macros are in use. Consider adding appropriate filters and exclusions based on known legitimate activity in your environment.","Image IN (""*\\excel.exe"", ""*\\mspub.exe"", ""*\\onenote.exe"", ""*\\onenoteim.exe"", ""*\\outlook.exe"", ""*\\powerpnt.exe"", ""*\\winword.exe"") ImageLoaded IN (""*\\VBE7.DLL"", ""*\\VBEUI.DLL"", ""*\\VBE7INTL.DLL"")"
"Potential DLL Sideloading Via comctl32.dll","Nasreddine Bencherchali (Nextron Systems), Subhash Popuri (@pbssubhash)","Detects potential DLL sideloading using comctl32.dll to obtain system privileges","attack.defense_evasion, attack.persistence, attack.privilege_escalation, attack.t1574.001, attack.t1574.002","image_load","windows","Not classified","Check for any suspicious or unexpected software installations or updates that involve loading comctl32.dll. Look for any abnormal behavior or signs of privilege escalation. 
Review the logs of system processes that load comctl32.dll during normal operation to ensure they are legitimate and expected.","Legitimate software installation or update that involves loading comctl32.dll 
Legitimate system processes loading comctl32.dll during normal operation","ImageLoaded IN (""C:\\Windows\\System32\\logonUI.exe.local\\*"", ""C:\\Windows\\System32\\werFault.exe.local\\*"", ""C:\\Windows\\System32\\consent.exe.local\\*"", ""C:\\Windows\\System32\\narrator.exe.local\\*"", ""C:\\windows\\system32\\wermgr.exe.local\\*"") ImageLoaded=""*\\comctl32.dll"""
"DLL Sideloading Of ShellChromeAPI.DLL","Nasreddine Bencherchali (Nextron Systems)","Detects processes loading the non-existent DLL ""ShellChromeAPI"". One known example is the ""DeviceEnroller"" binary in combination with the ""PhoneDeepLink"" flag tries to load this DLL.
Adversaries can drop their own renamed DLL and execute it via DeviceEnroller.exe using this parameter
","attack.defense_evasion, attack.persistence, attack.privilege_escalation, attack.t1574.001, attack.t1574.002","image_load","windows","Not classified","Review the process that triggered the detection and check if it is a known legitimate process or a suspicious one. 
Check if the process is associated with any known software or system component that requires the loading of ShellChromeAPI.dll. 
Analyze the command-line arguments or parameters used by the process to determine if it aligns with any known legitimate use cases. 
Inspect the process behavior and its interactions with other system components to identify any malicious activities or indicators of compromise. 
Cross-reference the detection with other security events or logs, such as network traffic logs, to gather additional context and evidence of potential malicious behavior.","Legitimate software or system processes that load the ShellChromeAPI.dll 
DLL sideloading performed by authorized applications or scripts","ImageLoaded=""*\\ShellChromeAPI.dll"""
"Svchost DLL Search Order Hijack","SBousseaden","Detects DLL sideloading of DLLs that are loaded by the SCM for some services (IKE, IKEEXT, SessionEnv) which do not exists on a typical modern system
IKEEXT and SessionEnv service, as they call LoadLibrary on files that do not exist within C:\Windows\System32\ by default.
An attacker can place their malicious logic within the PROCESS_ATTACH block of their library and restart the aforementioned services ""svchost.exe -k netsvcs"" to gain code execution on a remote machine.
","attack.persistence, attack.defense_evasion, attack.t1574.002, attack.t1574.001","image_load","windows","Not classified","Check the process tree to identify the parent process of svchost.exe and the command-line arguments used to launch it. 
Review the loaded DLLs for svchost.exe and identify any DLLs that match the ones specified in the rule (tsmsisrv.dll, tsvipsrv.dll, wlbsctrl.dll). 
Verify the path of the loaded DLLs and check if they are located in the C\Windows\WinSxS\ directory. 
If the loaded DLLs are not located in the C\Windows\WinSxS\ directory, further investigation is required to determine if the DLL sideloading is malicious or legitimate. 
Investigate the purpose and behavior of the loaded DLLs to determine if they are associated with the Svchost DLL Search Order Hijack technique. 
If the loaded DLLs are confirmed to be associated with the Svchost DLL Search Order Hijack technique, analyze the malicious logic within the PROCESS_ATTACH block of the library to understand the attackers intent and potential impact.","Legitimate software or system updates that may load DLLs from non-standard locations. 
DLLs loaded by legitimate software that are not related to the Svchost DLL Search Order Hijack technique.","Image=""*\\svchost.exe"" ImageLoaded IN (""*\\tsmsisrv.dll"", ""*\\tsvipsrv.dll"", ""*\\wlbsctrl.dll"") NOT ImageLoaded=""C:\\Windows\\WinSxS\\*"""
"Fax Service DLL Search Order Hijack","NVISO","The Fax service attempts to load ualapi.dll, which is non-existent. An attacker can then (side)load their own malicious DLL using this service.","attack.persistence, attack.defense_evasion, attack.t1574.001, attack.t1574.002","image_load","windows","Not classified","Check for the presence of ualapi.dll in the expected location (C\Windows\WinSxS\) on the affected system. 
Review the logs from the image_load category in the Windows event logs for instances where fxssvc.exe attempts to load ualapi.dll. 
Look for any suspicious or unexpected DLLs loaded by fxssvc.exe. 
Correlate the detection with other security events or indicators of compromise to determine if it is part of a larger attack.","In some cases, legitimate software may attempt to load ualapi.dll for a specific purpose, resulting in a false positive.","Image=""*\\fxssvc.exe"" ImageLoaded=""*ualapi.dll"" NOT ImageLoaded=""C:\\Windows\\WinSxS\\*"""
"DotNet CLR DLL Loaded By Scripting Applications","omkar72, oscd.community","Detects .NET CLR DLLs being loaded by scripting applications such as wscript or cscript. This could be an indication of potential suspicious execution.","attack.execution, attack.privilege_escalation, attack.t1055","image_load","windows","Not classified","Review the process tree and command-line arguments of the scripting application to determine the context of the DLL loading 
Check if the DLL being loaded is a known system DLL or a suspicious DLL 
Analyze the behavior of the scripting application and the loaded DLL for any signs of malicious activity 
Correlate the detection with other security events and logs to identify any related indicators of compromise 
Consult with the application owner or developer to understand if the DLL loading is expected and legitimate","Legitimate use of scripting applications loading .NET CLR DLLs 
Known benign activity involving the specified log sources","Image IN (""*\\cmstp.exe"", ""*\\cscript.exe"", ""*\\mshta.exe"", ""*\\msxsl.exe"", ""*\\regsvr32.exe"", ""*\\wmic.exe"", ""*\\wscript.exe"") ImageLoaded IN (""*\\clr.dll"", ""*\\mscoree.dll"", ""*\\mscorlib.dll"")"
"Possible Process Hollowing Image Loading","Markus Neis","Detects Loading of samlib.dll, WinSCard.dll from untypical process e.g. through process hollowing by Mimikatz","attack.defense_evasion, attack.t1574.002","image_load","windows","Not classified","Review process creation logs (e.g., Windows Event ID 4688) to identify the parent process of notepad.exe and verify its legitimacy. 
Check if the parent process is a known system process or a legitimate software application. 
If the parent process is suspicious or unknown, investigate further to determine if process hollowing or other evasion techniques are being used. 
Review the loaded DLLs for notepad.exe and check if samlib.dll or WinSCard.dll are present. 
If samlib.dll or WinSCard.dll are loaded from an untypical process or location, it may indicate process hollowing or other malicious activity. 
Collect additional information such as command-line arguments, network connections, and file modifications to further analyze the suspicious activity.","Legitimate software or system processes loading samlib.dll or WinSCard.dll","Image=""*\\notepad.exe"" ImageLoaded IN (""*\\samlib.dll"", ""*\\WinSCard.dll"")"
"Suspicious Unsigned Thor Scanner Execution","Nasreddine Bencherchali (Nextron Systems)","Detects loading and execution of an unsigned thor scanner binary.","attack.defense_evasion, attack.t1574.002","image_load","windows","Not classified","Not available","Not available","Image IN (""*\\thor.exe"", ""*\\thor64.exe"") ImageLoaded IN (""*\\thor.exe"", ""*\\thor64.exe"") NOT (Signed=""true"" SignatureStatus=""valid"" Signature=""Nextron Systems GmbH"")"
"UAC Bypass Using Iscsicpl - ImageLoad","Nasreddine Bencherchali (Nextron Systems)","Detects the ""iscsicpl.exe"" UAC bypass technique that leverages a DLL Search Order hijacking technique to load a custom DLL's from temp or a any user controlled location in the users %PATH%","attack.defense_evasion, attack.privilege_escalation, attack.t1548.002","image_load","windows","Not classified","Check the image load events in your Windows security event logs (or equivalent) for any matches to this rule. 
Look for details in the events, including the ""Image"" and ""ImageLoaded"" fields, to confirm the presence of ""iscsicpl.exe"" and the loading of ""iscsiexe.dll."" 
Investigate the context of the event, such as the user account and the timing of the detection. 
Determine if the ""iscsiexe.dll"" loaded from a user-controlled location is legitimate or suspicious. 
Consider checking the digital signature of ""iscsiexe.dll"" to further validate its authenticity.","This rule may generate false positives in cases where legitimate processes or applications load ""iscsiexe.dll"" from user-controlled directories. Investigate the context of the event to differentiate between malicious and legitimate activity.","Image=""C:\\Windows\\SysWOW64\\iscsicpl.exe"" ImageLoaded=""*\\iscsiexe.dll"" NOT (ImageLoaded=""*C:\\Windows\\*"" ImageLoaded=""*iscsiexe.dll*"")"
"UAC Bypass With Fake DLL","oscd.community, Dmitry Uchakin","Attempts to load dismcore.dll after dropping it","attack.persistence, attack.defense_evasion, attack.privilege_escalation, attack.t1548.002, attack.t1574.002","image_load","windows","Not classified","Check the process tree to identify the parent process of dism.exe and dismcore.dll 
Review the command-line arguments used to execute dism.exe 
Analyze the network traffic generated by the process 
Inspect the file system for any other suspicious files or artifacts dropped by the process 
Correlate the event with other security events or indicators of compromise (IOCs) 
Consult threat intelligence sources for any known malicious behavior associated with dism.exe and dismcore.dll","Actions of a legitimate telnet client","Image=""*\\dism.exe"" ImageLoaded=""*\\dismcore.dll"" NOT ImageLoaded=""C:\\Windows\\System32\\Dism\\dismcore.dll"""
"Wmiprvse Wbemcomn DLL Hijack","Roberto Rodriguez (Cyb3rWard0g), OTR (Open Threat Research)","Detects a threat actor creating a file named `wbemcomn.dll` in the `C:\Windows\System32\wbem\` directory over the network and loading it for a WMI DLL Hijack scenario.","attack.execution, attack.t1047, attack.lateral_movement, attack.t1021.002","image_load","windows","Not classified","Check the process tree for any suspicious or unauthorized instances of `wmiprvse.exe`. 
Review the file creation events in the `C\Windows\System32\wbem\` directory to identify any unauthorized creation of `wbemcomn.dll`. 
Analyze the network traffic logs to identify any suspicious communication related to the creation and loading of `wbemcomn.dll` over the network.","Legitimate use of WMI for system administration purposes may trigger this rule.","Image=""*\\wmiprvse.exe"" ImageLoaded=""*\\wbem\\wbemcomn.dll"""
"WMI Persistence - Command Line Event Consumer","Thomas Patzke","Detects WMI command line event consumers","attack.t1546.003, attack.persistence","image_load","windows","Not classified","Check for legitimate use of WMI command line event consumers in the environment 
Review WMI logs for any suspicious or unauthorized command line event consumers 
Analyze the command line arguments and parameters used by the event consumers 
Compare the observed behavior with known legitimate use cases","Legitimate use of WMI command line event consumers in specific environments","Image=""C:\\Windows\\System32\\wbem\\WmiPrvSE.exe"" ImageLoaded=""*\\wbemcons.dll"""
"Microsoft Binary Suspicious Communication Endpoint","Florian Roth (Nextron Systems), Nasreddine Bencherchali (Nextron Systems)","Detects an executable in the Windows folder accessing suspicious domains","attack.lateral_movement, attack.t1105","network_connection","windows","Not classified","Check the process image path to determine if it is a legitimate Microsoft binary or a suspicious executable. Log sources Windows Event Logs (Event ID 4688 - Process Creation) 
Review the destination domains to identify any known legitimate services or applications that may access these domains. Log sources Firewall logs, Proxy logs, DNS logs 
Correlate the network connection with other security events or indicators of compromise to identify any malicious activity. Log sources SIEM logs, IDS/IPS logs, Endpoint logs","Legitimate software or system processes accessing the listed domains 
Authorized users or applications accessing the listed domains for legitimate purposes","Image IN (""C:\\PerfLogs*"", ""C:\\Temp\\*"", ""C:\\Users\\Public\\*"", ""C:\\Windows\\*"") OR Image=""*\\AppData\\Temp\\*"" Initiated=""true"" DestinationHostname IN (""*.githubusercontent.com"", ""*anonfiles.com"", ""*cdn.discordapp.com"", ""*cdn.discordapp.com/attachments/"", ""*ddns.net"", ""*dl.dropboxusercontent.com"", ""*ghostbin.co"", ""*gofile.io"", ""*hastebin.com"", ""*mediafire.com"", ""*mega.nz"", ""*paste.ee"", ""*pastebin.com"", ""*pastebin.pl"", ""*pastetext.net"", ""*privatlab.com"", ""*privatlab.net"", ""*send.exploit.in"", ""*sendspace.com"", ""*storage.googleapis.com"", ""*storjshare.io"", ""*temp.sh"", ""*transfer.sh"", ""*ufile.io"")"
"Connection Initiated Via Certutil.EXE","frack113, Florian Roth (Nextron Systems)","Detects a network connection initiated by the certutil.exe tool.
Attackers can abuse the utility in order to download malware or additional payloads.
","attack.command_and_control, attack.t1105","network_connection","windows","Not classified","Review network connection logs for instances of certutil.exe initiating connections on ports 80, 135, 443, or 445. 
Look for patterns of suspicious or unauthorized activity, such as connections to known malicious IP addresses or domains. 
Cross-reference with other security events or indicators of compromise (IOCs) to identify any related malicious activity. 
Consider checking the command-line arguments used with certutil.exe to determine if any suspicious options or parameters were used. 
Consult with system administrators or other relevant personnel to determine if any legitimate administrative tasks involving certutil.exe were performed during the same time period.","Legitimate use of certutil.exe for valid administrative purposes.","Image=""*\\certutil.exe"" Initiated=""true"" DestinationPort IN (80, 135, 443, 445)"
